FID	place_name	category1	dem_MEAN	fac_MEAN	distance_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	DEM_RANGE
1406	崩崁	崁	28.00 	214.66 	244.72 	15.27 	277.92 	0.24 	76
6270	崁腳	崁	28.13 	1316.28 	326.98 	21.37 	113.91 	0.21 	22
32425	下崁	崁	28.72 	320.75 	456.66 	17.67 	19.50 	0.02 	187
22391	崁仔下	崁	29.73 	667.60 	503.29 	9.34 	10.28 	0.15 	50
24041	崁仔下	崁	29.73 	203.62 	216.39 	10.91 	35.08 	0.02 	50
19171	崁子頭	崁	30.41 	236.27 	394.92 	27.74 	7.21 	0.01 	24
28702	崁仔腳	崁	30.45 	86.22 	736.93 	22.45 	31.99 	0.03 	8
34014	崁頭仔	崁	31.73 	22.21 	381.43 	4.40 	128.89 	0.23 	10
19184	崁頭海濱	崁	32.13 	197.29 	277.44 	12.88 	275.54 	0.03 	30
38603	崁子頭	崁	32.13 	140.25 	261.30 	20.04 	74.22 	0.01 	30
34024	崁頭仔	崁	32.94 	13.33 	387.77 	18.96 	117.51 	0.01 	10
19177	崁腳下	崁	33.02 	253.44 	439.23 	10.90 	24.64 	0.34 	208
22245	崁腳	崁	33.72 	64.64 	325.61 	1.14 	8.33 	0.25 	59
2125	三崁嶺仔	崁	34.01 	177.75 	371.99 	38.49 	969.42 	0.74 	56
37060	三崁嶺仔	崁	34.01 	143.91 	455.03 	8.08 	96.34 	0.03 	56
21625	大崁	崁	34.59 	72.03 	606.17 	7.91 	317.75 	0.09 	207
33848	烏崩崁	崁	35.33 	686.03 	404.64 	7.59 	192.55 	0.01 	82
30593	烏崩崁	崁	35.37 	119.54 	339.93 	1.39 	19.26 	0.02 	97
2127	三崁	崁	35.97 	6785.19 	400.51 	5.51 	98.48 	0.09 	80
37062	三崁	崁	35.97 	78.41 	209.81 	30.13 	28.08 	0.01 	80
6397	崁頭仔	崁	36.21 	31.49 	381.38 	25.18 	225.09 	0.00 	29
41149	崁頭	崁	38.80 	139.27 	332.99 	1.48 	45.35 	0.02 	12
37823	崁下	崁	39.41 	13135.33 	306.11 	15.89 	8.17 	0.00 	87
41553	下崁頭屋	崁	40.27 	140.55 	468.17 	7.03 	19.32 	0.44 	31
11311	崁頭厝	崁	40.66 	189.06 	164.26 	1.64 	318.20 	0.02 	31
41550	上崁頭屋	崁	41.64 	102.12 	359.15 	8.14 	10.31 	0.01 	30
13943	南崁庄	崁	42.72 	10117.87 	335.25 	2.70 	164.91 	0.08 	24
1519	崁仔腳	崁	43.11 	1073.37 	332.89 	1.21 	20.72 	0.02 	20
19179	崁頭	崁	44.08 	173.49 	752.23 	2.57 	87.48 	0.04 	87
18879	崩崁腳	崁	44.24 	1747.45 	165.19 	16.03 	193.07 	0.27 	174
30024	牛羅崁	崁	45.15 	644.89 	206.61 	1.21 	24.65 	0.02 	13
8371	崁腳	崁	45.53 	974.30 	502.89 	0.42 	171.71 	0.01 	19
30545	崁腳	崁	46.30 	1423.26 	335.54 	2.42 	9.59 	0.02 	41
19936	石崁	崁	47.30 	299.06 	1004.04 	0.79 	5.42 	0.17 	100
28481	崁下寮	崁	50.78 	4542.52 	761.50 	0.35 	7.89 	0.43 	153
9312	崁子	崁	51.33 	430.67 	198.99 	3.98 	61.66 	0.06 	69
29993	崁仔下	崁	51.83 	337.31 	720.65 	4.43 	5.15 	0.00 	69
15160	崩崁窟	崁	52.98 	39.41 	301.37 	24.06 	335.61 	0.09 	125
25717	下崁	崁	53.27 	532.14 	411.45 	13.48 	85.72 	0.05 	92
23460	下崁	崁	53.68 	1729.88 	295.37 	5.09 	28.08 	0.18 	62
31678	坊崁仔	崁	54.96 	194.18 	674.31 	25.84 	53.93 	0.01 	116
19995	坊崁	崁	54.97 	36.78 	626.74 	5.35 	7.68 	0.02 	117
6252	南崁下	崁	56.54 	31.73 	1026.84 	17.95 	253.30 	0.28 	64
4038	崁頭厝	崁	58.06 	6232.07 	393.81 	0.77 	8.02 	0.01 	26
10771	南崁下庄	崁	58.82 	548.28 	367.85 	1.22 	9.91 	0.17 	41
27104	九崁	崁	62.30 	4117.02 	360.28 	0.52 	34.19 	0.01 	84
37678	九崁	崁	62.30 	113.14 	292.03 	1.88 	10.52 	0.01 	84
