FID	place_name	category1	DEM_RANGE	DEM_MEAN	HDIS_MIN	HDIS_MEAN	FAC_MEAN	GRA_MEAN	RELIEF_MEAN	ROUGHNESS_MEAN	VDIS_MIN_	VDIS_MEAN
31450	«á§|¥J	§|	73.0 	86.3 	0.0 	259.8 	1128.6 	5.8 	66.6 	0.1 	0.0 	22.6 
31465	¤j§|	§|	141.0 	210.2 	204.0 	661.7 	37.4 	13.2 	140.7 	0.2 	0.0 	41.1 
31581	²ÎÀ­§|	§|	119.0 	121.2 	0.0 	207.2 	70.7 	14.5 	126.7 	0.2 	0.0 	44.4 
31583	­·ªÅ¥J¡B­·§|¥J	§|	98.0 	118.5 	0.0 	506.1 	52.8 	9.0 	104.3 	0.2 	0.0 	20.8 
31611	¤û¨¤§|	§|	121.0 	90.7 	0.0 	311.3 	57.6 	7.8 	123.8 	0.1 	0.0 	21.3 
31640	¤W§|¥J	§|	72.0 	74.1 	0.0 	286.0 	52.6 	5.7 	89.3 	0.1 	0.0 	10.0 
31642	¤j§|¸Ì	§|	177.0 	140.9 	533.7 	1028.6 	37.6 	19.3 	184.4 	0.3 	0.0 	52.1 
31666	¤¤§|	§|	81.0 	96.1 	282.8 	795.2 	26.2 	14.6 	81.4 	0.2 	1.0 	41.7 
31668	¤«¥J§|	§|	81.0 	104.5 	126.5 	598.4 	10.9 	13.6 	88.8 	0.2 	9.0 	47.6 
31669	íB¥J§|	§|	81.0 	104.5 	126.5 	598.4 	10.9 	13.6 	88.8 	0.2 	9.0 	47.6 
31670	?¥J§|	§|	81.0 	104.5 	126.5 	598.4 	10.9 	13.6 	88.8 	0.2 	9.0 	47.6 
31671	¤j¦Ë§|	§|	201.0 	316.1 	0.0 	410.5 	46.9 	22.0 	232.4 	0.4 	0.0 	75.8 
31690	¶^°¨§|	§|	16.0 	24.1 	0.0 	167.0 	123.3 	2.2 	19.2 	0.0 	0.0 	3.3 
31691	?¤H§|	§|	16.0 	24.1 	0.0 	167.0 	123.3 	2.2 	19.2 	0.0 	0.0 	3.3 
31699	½Þ¥À¨Å§|	§|	116.0 	120.7 	768.4 	1080.5 	36.6 	14.3 	110.7 	0.2 	0.0 	49.0 
31700	¥P§|	§|	49.0 	73.5 	80.0 	474.1 	30.4 	6.7 	54.2 	0.1 	0.0 	31.5 
